tweet_id,fecha_reply,reply_id,texto,likes,retweets,replies,gender,usuario,;;
"¡PETRO ES PAZ!"",455,136,70,male,@OrrotushLopez,";;
"1916121382636695719,25/04/2025 15:39:00,61,""¡Petristas, tapen los ojos! SEMANA destapa los chats que hunden al magistrado Vladimir Fernández. ¿Será que lo metieron a la Corte a la brava para blindar la campaña corrupta de Petro?"",347,155,25,male,@GustavoNinoF,";;
1916121382636695719,26/4/2025 9:06:00,62,Vos sos un papelón.,482,33,7,male,@millanrussy,;;
"1916121382636695719,26/04/2025 8:50:00,63,""Ay Dios mío";;
Petro usted nunca entendió nada no?;;
San Francisco no fue revolucionario, fue restaurador, fue humilde, dejó sus riquezas y abrazó la pobreza!;;
Usted petro abrazó las Armas, usted hoy abraza el poder, las riquezas, la vanidad, la lujuria, la perversion, los vicios…..;;
",313,59,20,female,@Ana60978849350,
1916121382636695719,26/04/2025 8:50:00,64,Que Hermoso mensaje lleno de nostalgia, emoción y profunda tristeza Presidente, Dios bendiga su vida y el alma del santo Papa Francisco vague por la eternidad, nosotros los jóvenes estaremos esperando  el “ Laudato si” 🫂🙏🏻🤗🤍❤️ Dios le siga dando sabiduría y discernimiento."",291,55,18,female,@heileenjimeno,";;
1916121382636695719,26/04/2025 11:09:00,65,Usted es una caricatura de humor negro! 😂😂😂!!! Jajajajajajaajjajaajaja una vergüenza ! Un loco megalómano drogadicto que nadie se toma en serio! Solo para burlarse y ridiculizar! 👏🏻👏🏻👏🏻 “hermano y compañero” jajajajajajaja,265,67,4,female,@danyhurtado99,;;
"1916121382636695719,26/04/2025 12:00:00,66,""Se llama DEPRESIÓN guerrillero producida por el consumo de DROGAS, DROGADICTO"",252,73,3,female,@PALOMITA80,";;
"1916121382636695719,26/04/2025 9:16:00,67,""¡Qué discurso tan vomitivo,";;
Parece una mezcla entre drama barato, fanatismo ridículo y autopromoción llorona. Se siente como si usara la muerte del Papa Francisco para limpiarse su imagen de criminal fracasado.;;
"¡Qué tipo tan Miserable!"",295,44,2,female,@PilarEscobarBX,";;
"1916121382636695719,26/04/2025 8:39:00,68,""Muy sentidas sus palabras, Presidente ";;
@petrogustavo;;
". También en #Cuba hubo múltiples expresiones de homenaje a Francisco."",57,36,12,male,@EVilluendasC,";;
1916121382636695719,26/04/2025 8:43:00,69,Vea maestro. Su narcisismo extremo le impide entender que usted no es el centro de nada. Usted es un simple hpta que debería estar recibiendo tratamiento médico serio.,233,48,2,male,@Tempranillodel1,;;
1916121382636695719,26/04/2025 11:33:00,70,😥 https://pbs.twimg.com/media/GpeZSt8WgAAJhMV?format=jpg&name=900x900,230,48,2,male,@Richardjaraju,;;
1903490612059308457,22/03/2025 12:33:00,71,Ahí dice LEVOTIROXINA. un medicamento para la TIROIDES qué NADA TIENE QUE VER CON LA INSULINA. ¿Cuánto más nos van a mentir y con las pruebas en mano? Esto ya es ridículo.,3600,834,58,female,@Missmelindres,;;
1903490612059308457,22/03/2025 13:08:00,72,Presidente Gustavo Francisco el medicamento que Ud muestra es Levotiroxina que es para el tratamiento de la tiroides. Pero a lo mejor esta es una edición especial MACONDIANA que también sirve como insulina… al parecer del mismo Laboratorio que le vende el Café a presidencia.,2600,626,86,female,@linamariagarri1,;;
